way_id,highway,name,oneway,maxspeed_raw,refs
22845315,tertiary,Badaruddin Tayyabji Marg,yes,,245654509|13703003234|7925390312|7947785472|7925390313|245654592|7947785473|7925390314|7353363212|588669492
22845318,residential,Homi Modi Street,yes,,245654042|528703845|245654031|245654021|245654022
22845319,tertiary,Amit Keshav Nayak Marg,yes,,245654191|8740874638|13700678965|245654250|245654284|245654320|13697386425|245654341|13509238770|245654385
22845328,service,M K Amin Marg,yes,,245654315|11357408621|245654314
22845331,residential,Jeejeebhoy Dadabhoy Lane,no,,245654279|245654286|1597607970|1643105866
22845332,residential,Currimbhoy Road,,,245654262|245654268|245654271|245654278
22845337,service,,,,245654184|528729378|666068469|10956683673|528729379
22845343,residential,Viju Kotak Marg,,,7353245124|245654338
22845346,residential,Kumtha Street,yes,,662188949|7350321051|245654291
22845349,residential,Adi Murzban Path,,,245654246|7350321052|245654261
22845351,service,,,,245654198|10956683664|245654236
22845352,residential,Store Lane,,,245654127|245654124
22845357,residential,Green Street,,,245654004|13997328516|245654005
22845374,service,,,,245654325|10956683680|245654339
22845378,residential,M Mehta Road,,,245654333|2163544987
22845380,service,,,,245654271|10956683682|666064630|245654317|245654325
22845391,residential,Gola Lane,,,245654286|7353245141|7350321063|7812161134|11357408620
22845394,residential,Modi Street,yes,,245654166|8649735705|2163559526|245654205|245654231|7350550542|245654303|2168552374|245654333|245654345|2174602168|245654362|245654380
22845396,service,,,,245654168|10956683666|245654198
22845400,residential,Bora Bazaar Street,yes,,245654192|245654229|662488936|1597607879|245654279|11357432719|245654295|7353245140|7350321064|245654315|245654348|245654357|245654376
22845403,service,,,,245654195|10956731838|10956731836|245654239
22845404,residential,Calicut Street,yes,,245654207|7353245146|245654252
22845407,residential,Homji Street,yes,,245654160|245654124|662446778|245654082
22845409,residential,Agiary Lane,,,245654232|245654231|245654230|245654229
22845421,service,,,,245654255|4364323906|11066733151|245654258
22845425,service,,,,245654305|666064798
22845429,residential,,,,245654357|245654361|245654362
22845430,residential,Mangesh Shenoy Street,,,245654348|245654347|1234802625
22845431,residential,,,,245654175|245654187
22845432,residential,Jivaji Lane,,,11357408620|1643105867
22845441,service,,,,245654236|10956713550|4364323905|245654258
22845443,residential,Police Court Lane,,,1597607879|1597607875|1597607836|245654254
22845446,service,,,,245654255|10921328387|245654292
22845448,tertiary,Ramjibhai Kamani Road (Nichol Road),yes,,245654356|245654336|666064786|245654322|666064880|245654278|13701979054|13701979052|528729348|13701979055|529007062|245654178|245654161
22845449,residential,J N Heredia Road,,,528729346|4364323908|245654236|245654235|245654234|245654239|528729348
22845450,residential,Wallace Street,yes,,245654329|245654323|13697386422|245654320|245654313
22845451,residential,Sayed Abdullah Brevli Road,,,245654244|13464335935|662488872|245654204|245654175|245654159
22845454,service,,,,245654317|666064880
22845456,service,,,,245654258|10911056843
22845458,service,,,,245654307|666064630
22845462,residential,M Shakoor Marg,,,245654295|245654296|2163559572|245654303
22845469,residential,Janmabhoomi Marg,,,245654120|245654133|245654139|11182828206
22845483,service,Nadirshah Sukhiya Lane,,,245654135|11182799631|11182799632|245654148
22845484,residential,D Das Lane,,,245654315|245654344|245654345
22845489,tertiary,Boman Behram Road (Mere Weather Road),no,,245653665|4328236683
22845492,service,,,,245654239|10956731834|11066690397|10956683679|245654271
22845494,service,,,,245654325|10956683681|666064786
22845502,residential,Raghunath Dadaji Street,,,245654220|662488875|666043008|10277881695|666043086|245654254|1643105864|10845362179
22845532,residential,A Ward Lane,,,245654149|245654154|1704906033
22845535,residential,Bread Market Lane,,,245654193|245654205
22845536,tertiary,Nyayamurty G N Vidya Road,yes,,245653956|528713723|536839590
22845542,residential,Cawasji Patel Street,yes,,245654066|245654112|245654133|11357475836|245654148|245654174
22845549,residential,S Bahl Path,,,662188950|7353245125|245654352
22845551,residential,D Sukhadwala Road,yes,,245654360|245654350|13697386430|245654341|245654342
22845555,residential,Rustom Sidhwa Marg,yes,,245654219|245654220|2163559534|245654204|245654192|245654182|666042303|245654183
22845556,residential,Cochin Street,,,245654194|2242540279|662188953|245654178
22845583,primary_link,Walchand Hirachand Road (Fort Street),yes,,245654376|1234802625|13509238780|1643105879
22845584,primary,Walchand Hirachand Road (Fort Street),yes,,2163503480|13509238783|2163503473|2163503472|2163503470|6078180260
22845614,tertiary,Walchand Hirachand Road,,,245654222|11951934529|245654210|13700599273|4364323913|662994488|662994489|13700599274
22845617,tertiary,Shoorji Vallabhdas Road,,,662994491|662994493|245654151|245654161|662188952|2242540278|245654172
22845624,tertiary,Sir Pherozeshah Mehta Road,yes,,245654164|245654166|2163539007
22845631,tertiary,Horniman Circle,yes,,245654083|10598322637|1704905498|1704905464|317153587|245654023|245654036|495108334|317153588|317153589|495108431|495091491|1643093953|245654056|13701996608|13701996607|495100610|2177429780|245654073|495108539|317162374|495108550|245654082|245654092|1704905814|10598322640|486050974|245654083
22845685,tertiary,BEST Marg,yes,,245653559|10886066849|245653597|2176742007|245653605|2242540244|245653633
22845689,residential,Sitaram Deora Marg,yes,,486400963|13700806417|9909482265|2241843088|9909482268|2241843086|9909482270|2241843082|2241843081|2241843078|9909482283|245654143
22845690,residential,Pandit Shobhnath Mishra Marg,yes,,245654202|2241843113|2241843115|2241843117|2241843129|2241843132|13700869308|486400953
22845692,tertiary,Dinshaw Wachha Road,,,13015390786|2241842980|11290169684|10801585707|11042165480|11042218314|11042165477|11290171071|11042218310|11042165479|11290171074|2241843000
22845713,tertiary,Mahakavi Bhushan Road (Lansdowne Road),yes,,245653718|245653702|245653695|245653684|245653665
22845714,residential,Ambalal Doshi Road,,,245653980|10943519031|11357547960|245653968
22845715,tertiary,Anandilal Podar Marg,,,461490081|2244632745|1643210453
22845716,residential,Banaji Street,,,245654112|245654111|11357502774|245654104|245654072
22845724,tertiary,Dr V B Gandhi Road (Forbes Street),yes,,245653901|245653902|245653906|245653908|13700497246|13700497251|3366416122|13700497239|317158324
22845731,residential,Tullock Road,,,245653695|245653662
22845732,residential,Stevens Street,yes,,245653684|245653708
22845737,tertiary,HT Parekh Road,,,4307040348|14053149388|11978789335|14053149387|14053149385|245653940|245653935|7345775399|2241842873|245653923
